Star Rating,Nature of Rating,Review Comment
1-star,0,"i brought in a fontanini nativity village to sell which cost new over $1,000. i did not expect to get $1,000, i was hoping for $200 or less. when i went in to see what i had earned so i could buy more of their stuff. i was amazed to learn that not only did it sell, but there were renewal membership fees, stocking fees and of course, they received very little for the set, so i received $0. what a rip off!!!! do not ever take your items to be sold there! find another store if you want to get any money for them! and never, ever take a high priced item there to sell ever!!!!"
1-star,0,"so here's an eye-opener. i dropped off some things for consignment recently, including a like-new gucci belt i haven't worn in years because it's too small. someone just called to say they won't accept it without a certificate of authenticity. seriously? that's like requiring a certificate of authenticity at a garage sale. i told the caller i could attest to its authenticity because i bought it while working at saks years ago, and to put it in their donation pile. better yet, grab it for herself because a) its real, and b) it shouldn't go to waste. so that's a little window into the quality here - piles of low-end brands but an actual designer piece gets rejected for lack of 'proof'."
2-star,0,"convenient location off of 32nd street and shea. large selection of many different themes of items. layout is a little cluttered yet can be navigated easily. however, my reason for the 2-star rating is that even when i discover some decent merchandise, the staff is so unpleasant that i really don't feel like giving this business my money. there are other stores of a similar nature in the valley that will better appreciate my patronage."
5-star,1,"name a place where you can find buried treasure without having to dig? this place! i love coming here not only for the amazing trinkets i find but also for their friendly staff. my mom, sister, and i have been coming here for over ten years when it was a little store. it's grown so much and although i am sad that they got rid of their little coffee shop, i still love them. this upscale consignment store will have everything you are looking for and more. i wish i lived closer to it because i would be shopping here probably three to four times a week. wait, maybe it's a good thing! =p when you walk in you may not find a cart which kinda sucks but just bring one of those big reusable grocery bags and you'll be set. they offer major discounts on items that have been in their store for more than a month which is awesome. i once bought a fitbit for $12.00. yes, you read that right. 12 dollars. and it worked. i am truly happy for this great place. thank you for existing!"
4-star,1,"enormous selection of clothes, shoes, bags & household goods...at amazing prices. everything beautifully sorted by color & type (skirts, tops, pants, etc.) so it is very easy to zero in on what you're looking for. everything looks clean & gently worn, so there's no ""ick factor"", like in some consignment clothing stores. you cannot beat the pricing and their tags (the ""markdown dates"" are listed) eliminate the need to awkwardly ask ""when will this be reduced?"" household items are in great shape, beautifully displayed and also sorted by color, type of item, etc. there's a big selection of new costume jewelry, makeup & gift items. i agree with other posters: some of the staff need counseling on how to interact with customers, while other employees are very nice. this is a bit of a drive for me, so i'm not often here....but love it when i do get a chance to stop by. it's always a fun & very rewarding experience!"
1-star,0,"beware!! the online ""check your account balance"" does not work. no one answers the phone and i tried for 6 days! i was told i would receive a list of items i took in....never received. i took in a pair of $80 boat shoes (worn only the day i bought them) plus 4 other items and when i went in person to ask where my list of items was, i was told they don't do that. the shoes and one other item were sold....but i was told i owe them 73 cents!!!!!!!! ripoff."
5-star,1,i absolutely love this store. i will not shop anywhere else. the store personnel is just so wonderful i cannot express in words. genuine people who love to see you find your treasures. you just never know what you will find.
1-star,0,"they ""donate"" almost everything you bring in.188 donations in one year! i have heard they have an underground shop in prescott. i will never consign there again."
5-star,1,"everyone should check this place out - there is something here for all tastes. it is such an amazing store! i have bought several shirts and household items here for next to nothing! even the stuff you think you're paying nothing for rings up at a discount sometimes. i haven't quite figured out the tags, but almost every time i check out i am pleasantly surprised by multiple unexpected discounts. the people i have dealt with have been super friendly too, i have read some of the other reviews and been doubtful. maybe every time i have been there i got lucky? i found the people to be customer service bubbly and fun. i also thought the consignment side was very helpful and professional. i will be back many, many times as long as i live in phoenix."
3-star,0,"i love this place, i go there often. i do however agree with a previous review...some of the employees are a bit uppity, cold and unfriendly. so to the ladies that work there, please be helpful and friendly to all customers. i'll be there this weekend."
5-star,1,for women's clothing and household it is the best i have ever shopped at. so much better than the competition in scottsdale. this is an amazing store with great prices and fabulous merchandise. those who give negative reviews are way off. i have brought people there from all over the country and they come back time and time again. they are very organized and quite selective with their merchandise. there is noplace better. i have found the staff extremely friendly and helpful every time i have gone. never have i seen anything overpriced and again the merchandise is high quality.
5-star,1,"wow in reading some of these reviews, i honestly don't understand all the negativity unless they are from competitors trying to bring this place down a notch! i started shopping here about a year ago and the place is fabulous! i can't begin to tell you the wonderful finds i have made here. besides the pricing, what i like is that this store is well organized and all of the items are new or like new. i've purchased things still in the original packaging. the used things are so gently used you sometimes wonder if they are brand new without the packaging. i've been to some other places where the quality is ""early attic"" and the prices are outrageous. this is the place to go for one-of-a-kind, well-priced household items. the shoes and the purses are not bad either! i haven't found a better place to shop than this."
1-star,0,"there was a misleading sale tag stating something with $0.00 when i brought it to the attention of duane she was very rude, told me that she have to figure out the pricing and didn't even say thank you for bringing it to her attention even though by law i should be able to pay what on the price tag which meant it was zero aka free. i didn't like the item and had no plan on buying it but so did want to bring it to their attention and do the right thing. instead i was treated without any dignity or respect and like i did something wrong! talk about getting treated like shit for doing the right thing! see photo."
4-star,1,"i know there are some unhappy campers that have gone to a second look and didn't like the experience. but i have to say i found the way to do it... go with a plan. do i need a new calvin klein business suit for dirt cheap? head straight to the back wall and check the sizes, try it on and get out. do i need something black? just head straight to the color coordinated rack and sift through my size. jeans? same deal. dresses? all on one long rack. this place is very organized and the dressing rooms are never too busy. it can be a great place to find quality clothing that isn't just chicos for a great price. just go with a plan next time...."
1-star,0,"good selection but not worth putting up with the extremely rude employees and management. they have absolutely no patience for children. it's a consignment store, that you would think caters to people on a budget, young mothers, for example. yet they are rude and intolerant of children. that makes no sense. i used to shop there very frequently, almost on a weekly basis but i won't go back anymore."
4-star,1,"have been shopping here for years, the store itself is not much to look at - but the prices are always good. they must cycle the inventory regularly - as i routinely find new things every visit. staff seems friendly too..."
5-star,1,"as a shopper this is prob my favorite store of all times! (not great as a consignor but really, when i buy something i'm not looking to get anything back when i'm done with it.) i have found some amazing business suits, evening gowns, casual attire, purses, and housewares here. i just love it! well organized and clean store. plenty of parking and i enjoy their pricing model."
2-star,0,"based on the postive reviews, i stopped in on a sunday afternoon in search of a good deal. however, i was disappointed in the selection of clothes. while i appreciated the presentation, i was not impressed by the dated fashions offered for sale. i did find a few nice deals in the shoe department. i bought pristine rockport sandals and a couple of pairs of clark shoes. however, i was stung by the return policy. upon closer inspection at home, i noticed one pair of the clark shoes had a tear on the seams. however, because of their return policy, i was not able to return or exchange them. i took the shoes to a shoe repair shop in hopes of repairing them and was told they could not be fixed. :-( it would been nice to if they allowed exchanges for store credit. oh well, it's a $15 reminder to really, really tug and check at all the seems of seemingly new shoes and clothes. :-) overall, i would only recommend this place for shoes and other misc. bric a brac like collectibles. their reductions policy is a boon for buyers in that the longer an item stays in inventory, the higher the discount."
1-star,0,"i was quite disappointed today from a company i've been very happy about in the past. a pity really because i've recommended them to so many friends in the past. well all good things come to an end and as with many the devil is in the return policy. the customer service rep helping me was defensive boarding rude when i attempted to return three shirts i had purchased yesterday. apparently i misread the return policy and thought i had 24 hours but that was just for electronics. though i was calm during the conversation even sharing an idea to take to management that might mitigate such situations in the future she continually assumed my statements and an aggression on my part that was not there. i repeated made statements such as ""i am not upset"" ""i've been on your side of the register"" we finally ended our interaction with her defensive recommendation that i consider reconsigning the shirts. thinking perhaps this was a viable option i took the shirt that had been in my possession for less than 24 hours to the consignment area tags still on. there i spoke with another employee who seemed shocked when i shared that i shared that i had purchased the shirts less than 24 hours before and yet was unable to return them. she, like myself, was under the impression this was the policy. after learning that there were fees involved with reconsigning, and feeling the a second look had already taken my time and enough of my money i departed with the shirts still in had. it is obvious that the staff need training and the policies clarified. i guess i'll try the consignment shop on tatum and bell in the future."
1-star,0,"i haven't been here in awhile but did find a pretty good selection when i did, what annoyed me the most and drove me out of the store b4 i was really finished looking was the ding, ding bell that went off every time soneone came in or out. i know why they do it and it's not for the customer. until they stop (and kohl's did awhile back), i'm not coming back!!!"
2-star,0,"who doesn't love a bargain? i get an adrenaline rush every time i find a great piece at the fraction of the retail price. i don't even mind if it is used as long as it still looks new-ish. i thought a second look would be a great place to get that shopper's rush, but boy was i wrong. the place reminds me of my grandmother's closet because it has the hallmark finicky old woman organization. everything is arranged according to color with signs everywhere proclaiming the consequences of touching and breaking. it is a little overwhelming. the clothes are not that great. everything in the designer section looks like it came off the beverly hills 90210 set circa 1990, and it is marked up like crazy. the rest of the store follows suit; for example, i saw a faded shrunken american apparel dress for $13.00 (i can't even begin to tell you what is wrong with that picture). while i commend the staff for meticulously keeping the store in perfect condition, i did not see anything that i would think of giving a second look."
5-star,1,"great place with great people. i shop here mostly for my work shirts, i have gotten some amazing dress shirts from $4 - $15 since i have been in az. i think my favorite thing about this place is they way they do their discounting. the longer the item has been in the store the more you save up to 75% off. be sure to check the wall in the front of the store for the discount available based on the date on the price tag. right now i am waiting a few more weeks in hopes that this one item i have my eye on hits the 60 day mark. this consignment store has a decent art section, plenty of household decorations and lots of cloths and none of it junk. i find the full non discounted price to be pretty reasonable most times (the item i want right now is overpriced). they go out of their way to be helpful and friendly and i appreciate that."
2-star,0,"this place is better for shoppers than for consigners. on the positive side, i think it is organized well & doesn't feel cramped. from a consigners perspective, their policies have gotten ridiculous. they now charge you a $10.00 annual fee plus $3.50 every time you drop items off. in addition to that craziness, they also want clothing brought in on hangers, pressed/completely wrinkle free. quite frankly i don't have the time to go thru all of my items & either iron them or take them to the dry cleaners (which even if i go to the cheap cleaners for $2.00 & i end up with maybe $3-5 for the item when it sells, doesn't even make it worth the trouble). they also want to take a week or so to go thru your stuff & either donate what they won't take or call you & you have to make another trip to go pick it up. too much time/effort to make it effective for me. it also seems when my items sell, i get less for them than if i would have taken them elsewhere. as said in other people's reviews most of the items they have are very middle of the road (i.e., express, gap, etc), so it's not like they're only taking designer apparel to warrant such strict consignment policies. i will stick to taking stuff to my sister's closet which is easier to work with, they don't charge you fees, and tell you right then & there what they want to take. i feel i also get top dollar for my items at my sister's closet as opposed to here."
4-star,1,"this review is for bringing your stuff in for consignment and based off one purchase. my family used to bring stuff here on a regular basis but not so much anymore, i need to get back into the habit. but when we did bring clothes, accessories, house goods, etc it was was really great, easy and very organized. i purchased my first real furniture sofa and love-seat set from here when i had my first real apartment after college. it was a great set and so affordably priced! i actually kinda miss that set, since then i have bought new stuff for my first real house. i remember the staff being very friendly and helpful. especially when you aren't sure how consignment works, they walk you thru it with ease."
5-star,1,"ok, full disclosure - i know the owners. still, check out a second look and you'll see that they set the bar very high by consignment store standards. it's definitely not your typical second-hand store. for one thing, it's huge - as big as a department store, and the shopping experience is similar in terms of atmosphere and better in terms of selection given the range and uniqueness of the things you find there. the store only accepts ""as-new"" merchandise, so no worries about stains, holes or weird smells. the clothes are sorted not only by style and size but by color, which makes for a more efficient search for random treasures (i'm an attention-deficit shopper, especially when digging through racks of random clothes - so i like being able to save time by looking mainly in the colors that look best on me). you really never know what you're going to find, and their inventory turnover is high, which makes coming back regularly not only fun but practically mandatory. the discounting system is pretty innovative - almost all of the clothing has a dated price tag, and after 30 days on the rack, an item automatically goes 25% off; after 45 days, 50% off; after 60 days, 75% off, and after that it's taken out of inventory and donated to a charity that supports needy women and children. the housewares section is awesome, too - perfect place to find a bargain on the ice cream maker you keep thinking you want, or to change up the decor of your place for a fraction of retail. they have a big kids' section, and their holiday decoration stuff is definitely worth checking out once christmas rolls around. also, there's a coffee bar area tucked away in the back on the other side of the consignor drop-off area. it's a nice place to take a break from shopping, or to give bored companions a spot to hang out. great coffee, too. consigning the good stuff you just don't want any more is much better than just hauling it all to goodwill - at least you stand the chance of making back a little money; worst case, if they don't sell, they'll end up going to charity anyway. update 6/5/09 - no more kids' section here, nor hot coffee at the coffee bar, although cold drinks and snacks are still available. still plenty of great bargains to be had!"
1-star,0,"your items are too expensive for a thrift store. people stopped going to dog junkies thrift store because the prices all of a sudden tripled. your prices are more than regular store prices. you started out as a good thrift store and people enjoyed going there to get the bargain, but now you're overcharging for items. you really need to lower your prices down to thrift store prices if you want to stay in business."
5-star,1,i absolutely love that i found this thrift store. it's located on rancho and has some high end shoes including jordan's and adidas that are barely used. there are signs out front for puppies but don't let that fool you. there is a lot of great stuff inside. women's men's and kids stuff! i highly recommend checking is it out next weekend or just in your free time. brandon sevruk
5-star,1,"i stumbled across this place while driving by. i don't get over here much, so i stopped. i was so glad i did. i am an animal lover so the fact that they support no kill animal rescues is uge for me. you can also volunteer and they give you a discount when you do. they have different daily sales. i can't remember them all off the top of my head, but wednesdays is 50% off clothing. they have a facebook page as well so you can check the sales for whatever day it is. it's clean and it's basically a house, so there are different rooms for you to explore. plan to spend some time if you're stopping in."
5-star,1,really like this place. i especially like the fact the revenue goes to maintain their no kill dog rescue. they have the best selection of quality pet supplies that i have ever seen in a thrift store. saturday is 25% for teachers!
1-star,0,they are so rude here. saw a mirror they had just posted on offer up. came in and they didn't have it and even worse they didn't bother to try and help me to see if they had it or anything. they were so rude about it. i really didn't want to give them any business after their attitudes. made my day of wanting to go search through thrift shops for hidden gems no fun .
1-star,0,"only giving it one star because i can't go any lower. answered an ad from them for a item they had for sale. the ad was entirely false. item was listed as new and in box - probably wouldn't be as mad if when i got there the woman wouldn't have had such a funky attitude. when i answered the ad and i asked if the item was new and was told yes it was. drive way across town to find out not only was it not new but very used, filthy dirty and missing parts. when i questioned it the woman said i had to understand volunteers place those adds and they can't be responsible for mistakes - really? she didn't even have to decency to apologize for their mistake just told me it's still a deal - huh - a broken dirty machine is just as good as new? didn't mind in the beginning because i was going to help a good cause but now i'm just super pissed that you wasted my time and gas and was treated badly by someone who was rude as hell - yes i'm talking to you lady with the short black hair"
5-star,1,"i head straight to the pet supply section first. they have a great selection of dog toys, clothes, leashes, harnesses...everything my babies need. don't get me wrong. the rest of the store is great too. they also carry pawsome jerky. my dogs love it. i know you can order it online too, but this is the only store i've found it in so far. i highly recommend checking this place out. there's so much stuff to choose from and new stuff all the time. plus (and this is the best part) every sale helps dogs in need. total win win."
5-star,1,i came in for a birthday present for my mom olivia helped me out she was super awesome. very attentive gave me really good ideas on what to get. i ended up buying a pair of super cute jeans and a super cute top to go with it! it's great service and great price that keeps me coming to a place and they have both!
5-star,1,olivia helped me pick out the cutest outfit ! she was a lot of help the clothes there are very cute i wanted to buy everything. thanks again olivia for helping me
